distance_km,peak_mean_doy,peak_p25_doy,peak_p75_doy,peak_nyears,peak_valid
0.0,168.0,129.5,194.5,8,True
0.1,190.5,165.0,222.0,8,True
0.2,190.5,165.0,222.0,8,True
0.3,178.5,151.25,191.25,8,True
0.4,195.0,165.0,222.5,8,True
0.5,205.5,173.0,234.75,8,True
0.6,210.0,195.5,231.75,8,True
0.7,210.0,171.0,252.5,8,True
0.8,216.0,181.0,253.0,8,True
0.9,186.0,145.5,237.25,8,True
1.0,198.0,142.5,269.5,8,True
1.1,219.0,178.5,256.75,8,True
1.2,175.5,124.75,238.5,8,True
1.3,142.5,107.75,168.75,8,True
1.4,159.0,130.0,199.5,8,True
1.5,208.5,158.25,261.75,8,True
1.6,214.5,174.25,265.25,8,True
1.7,199.5,162.25,242.25,8,True
1.8,159.0,102.5,225.25,8,True
1.9,201.0,161.25,264.5,8,True
2.0,196.5,147.75,264.5,8,True
2.1,204.0,139.0,267.75,8,True
2.2,168.0,117.75,192.5,8,True
2.3,193.5,131.75,236.5,8,True
2.4,142.5,92.5,160.5,8,True
2.5,142.5,92.5,160.5,8,True
2.6,183.0,98.25,258.25,8,True
2.7,156.0,98.25,177.25,8,True
2.8,204.0,142.5,271.5,8,True
2.9,175.5,121.5,271.5,8,True
3.0,150.0,116.25,159.0,8,True
3.1,150.0,116.25,159.0,8,True
3.2,246.0,245.25,276.75,8,True
3.3,235.5,231.25,281.25,8,True
3.4,231.0,157.5,289.25,8,True
3.5,231.0,220.0,289.25,8,True
3.6,168.0,85.5,266.25,8,True
3.7,196.5,121.75,282.75,8,True
3.8,180.0,91.5,271.5,8,True
3.9,192.0,124.75,275.25,8,True
4.0,160.5,131.5,179.5,8,True
4.1,180.0,131.5,267.25,8,True
4.2,162.0,92.25,227.5,8,True
4.3,174.0,123.75,238.75,8,True
4.4,175.5,123.75,238.75,8,True
4.5,178.5,125.5,233.0,8,True
4.6,180.0,125.5,233.0,8,True
4.7,190.5,135.75,267.75,8,True
4.8,168.0,128.5,190.5,8,True
4.9,192.0,132.25,288.75,8,True
5.0,192.0,132.25,288.75,8,True
5.1,169.5,130.0,216.75,8,True
5.2,177.0,130.0,228.0,8,True
5.3,187.5,136.25,234.0,8,True
5.4,187.5,121.5,261.0,8,True
5.5,211.5,148.25,261.0,8,True
5.6,210.0,148.25,271.75,8,True
5.7,223.5,210.75,271.75,8,True
5.8,208.5,144.75,259.75,8,True
5.9,214.5,151.25,259.75,8,True
6.0,195.0,136.5,256.0,8,True
6.1,207.0,139.5,256.0,8,True
6.2,148.5,125.25,165.75,8,True
6.3,171.0,143.5,214.5,8,True
6.4,148.5,123.0,171.75,8,True
6.5,148.5,123.0,171.75,8,True
6.6,186.0,129.75,271.5,8,True
6.7,175.5,78.5,261.75,8,True
6.8,205.5,141.25,271.5,8,True
6.9,189.0,145.25,238.5,8,True
7.0,205.5,145.25,288.75,8,True
7.1,159.0,92.25,195.75,8,True
7.2,183.0,125.25,265.5,8,True
7.3,165.0,95.25,217.25,8,True
7.4,127.5,70.75,176.0,8,True
7.5,138.0,91.75,161.25,8,True
7.6,138.0,91.75,161.25,8,True
7.7,136.5,90.5,152.25,8,True
7.8,141.0,94.25,184.5,8,True
7.9,157.5,93.25,207.75,8,True
8.0,127.5,78.25,150.75,8,True
8.1,127.5,78.25,150.75,8,True
8.2,139.5,78.25,178.25,8,True
8.3,138.0,85.75,165.75,8,True
8.4,150.0,134.25,165.75,8,True
8.5,172.5,129.5,208.5,8,True
8.6,172.5,129.5,208.5,8,True
8.7,160.5,136.5,184.75,8,True
8.8,171.0,133.5,217.25,8,True
8.9,163.5,105.0,202.75,8,True
9.0,159.0,85.75,195.0,8,True
9.1,123.0,78.25,168.75,8,True
9.2,145.5,129.75,173.25,8,True
9.3,130.5,108.0,156.75,8,True
9.4,142.5,126.75,168.5,8,True
9.5,141.0,132.75,156.75,8,True
9.6,171.0,149.75,178.5,8,True
9.7,171.0,149.75,178.5,8,True
9.8,150.0,139.5,169.25,8,True
9.9,168.0,158.5,171.75,8,True
10.0,150.0,139.5,165.75,8,True
10.1,133.5,115.25,151.75,8,True
10.2,151.5,143.25,168.5,8,True
10.3,142.5,129.0,162.25,8,True
10.4,130.5,103.5,141.25,8,True
10.5,141.0,130.5,156.75,8,True
10.6,145.5,134.75,158.25,8,True
10.7,144.0,133.5,165.25,8,True
10.8,150.0,134.75,165.25,8,True
10.9,136.5,114.75,165.25,8,True
11.0,141.0,133.5,156.75,8,True
11.1,144.0,134.25,168.5,8,True
11.2,145.5,134.25,156.75,8,True
11.3,165.0,135.75,170.25,8,True
11.4,159.0,135.75,168.5,8,True
11.5,159.0,135.75,168.5,8,True
11.6,136.5,129.25,144.75,8,True
11.7,136.5,129.25,146.0,8,True
11.8,142.5,129.25,158.75,8,True
11.9,139.5,123.25,152.75,8,True
12.0,136.5,123.25,138.5,8,True
12.1,147.0,131.5,158.75,8,True
12.2,147.0,131.5,158.75,8,True
12.3,147.0,131.5,158.75,8,True
12.4,133.5,129.25,145.25,8,True
12.5,141.0,132.0,145.25,8,True
12.6,135.0,129.25,145.25,8,True
12.7,135.0,129.25,145.25,8,True
12.8,132.0,128.5,136.25,8,True
12.9,145.5,134.25,156.5,8,True
13.0,142.5,132.0,151.25,8,True
13.1,150.0,132.0,162.0,8,True
13.2,144.0,128.5,162.0,8,True
13.3,132.0,112.5,158.75,8,True
13.4,145.5,130.75,158.75,8,True
13.5,138.0,129.25,153.0,8,True
13.6,138.0,103.5,166.25,8,True
13.7,144.0,125.25,159.75,8,True
13.8,138.0,119.5,157.25,8,True
13.9,159.0,134.25,168.75,8,True
14.0,133.5,114.75,153.0,8,True
14.1,138.0,109.75,150.0,8,True
14.2,133.5,119.5,155.0,8,True
14.3,139.5,125.25,158.75,8,True
14.4,136.5,115.75,158.75,8,True
14.5,138.0,115.75,163.25,8,True
14.6,147.0,134.25,158.75,8,True
14.7,144.0,132.0,158.75,8,True
14.8,136.5,123.25,156.5,8,True
14.9,135.0,125.5,153.75,8,True
15.0,136.5,123.25,156.5,8,True
15.1,132.0,119.25,156.5,8,True
15.2,130.5,105.25,150.0,8,True
15.3,126.0,104.25,147.75,8,True
15.4,135.0,111.0,158.75,8,True
15.5,138.0,126.25,155.0,8,True
15.6,124.5,101.25,150.0,8,True
15.7,132.0,119.25,153.25,8,True
15.8,145.5,129.25,166.5,8,True
15.9,141.0,129.25,150.0,8,True
16.0,145.5,131.5,151.5,8,True
16.1,132.0,112.5,146.75,8,True
16.2,133.5,112.5,149.5,8,True
16.3,126.0,117.25,136.25,8,True
16.4,145.5,129.0,156.25,8,True
16.5,136.5,118.75,155.0,8,True
16.6,133.5,116.25,157.25,8,True
16.7,135.0,121.5,155.0,8,True
16.8,147.0,133.5,157.25,8,True
16.9,156.0,133.5,157.25,8,True
17.0,138.0,124.75,141.5,8,True
17.1,127.5,119.5,139.5,8,True
17.2,138.0,119.5,155.0,8,True
17.3,132.0,119.5,146.75,8,True
17.4,127.5,105.25,150.0,8,True
17.5,159.0,131.5,177.0,8,True
17.6,133.5,104.25,150.0,8,True
17.7,124.5,116.5,141.5,8,True
17.8,118.5,103.5,136.25,8,True
17.9,159.0,138.75,180.75,8,True
18.0,129.0,114.25,137.75,8,True
18.1,118.5,103.5,136.75,8,True
18.2,118.5,111.75,132.5,8,True
18.3,136.5,121.75,152.75,8,True
18.4,138.0,111.75,147.25,8,True
18.5,138.0,111.75,147.25,8,True
18.6,127.5,111.75,147.25,8,True
18.7,120.0,99.75,136.75,8,True
18.8,153.0,114.75,166.5,8,True
18.9,124.5,106.25,152.75,8,True
19.0,124.5,114.25,140.75,8,True
19.1,135.0,119.25,152.75,8,True
19.2,139.5,114.75,152.75,8,True
19.3,142.5,94.75,160.5,8,True
19.4,198.0,143.25,263.75,8,True
19.5,180.0,111.75,239.75,8,True
19.6,142.5,94.75,158.75,8,True
19.7,142.5,94.75,158.75,8,True
19.8,154.5,114.75,204.75,8,True
19.9,162.0,125.25,193.5,8,True
20.0,171.0,126.0,184.5,8,True
20.1,151.5,111.75,195.0,8,True
20.2,151.5,111.75,195.0,8,True
20.3,156.0,119.5,216.75,8,True
20.4,172.5,113.25,226.25,8,True
20.5,157.5,110.25,215.5,8,True
20.6,129.0,95.25,123.75,8,True
20.7,180.0,126.75,232.0,8,True
20.8,151.5,116.5,193.5,8,True
20.9,150.0,104.25,196.25,8,True
21.0,171.0,108.0,233.5,8,True
21.1,126.0,82.75,157.5,8,True
21.2,156.0,111.0,193.5,8,True
21.3,177.0,109.75,238.0,8,True
21.4,181.5,117.0,238.0,8,True
21.5,211.5,148.5,259.75,8,True
21.6,181.5,134.25,238.0,8,True
21.7,172.5,93.75,238.75,8,True
21.8,153.0,125.25,190.25,8,True
21.9,142.5,77.25,190.25,8,True
22.0,178.5,129.75,259.0,8,True
22.1,148.5,97.5,195.75,8,True
22.2,162.0,97.5,227.5,8,True
22.3,169.5,99.0,229.25,8,True
22.4,169.5,99.0,229.25,8,True
22.48,169.5,99.0,229.25,8,True
