s_km,x,y,elev_m,thickness_m,vel_mean_md
0.0,558994.7142204285,3996605.215379656,6352.8623,27.54017,0.096321605
0.1,558982.9638207016,3996703.695153585,6192.4355,34.681232,0.108523056
0.2,558943.0769452024,3996795.1057599946,6050.4214,44.266785,0.16019227
0.3,558890.416156194,3996880.0609245435,5940.527,55.686478,0.21724428
0.4,558831.7984247113,3996961.0592213045,5898.8037,58.186047,0.22193967
0.5,558769.0231795924,3997038.9005252523,5898.8037,74.651855,0.21348162
0.6,558703.3295423331,3997114.2796031227,5844.491,104.7695,0.21537116
0.7,558636.0299335867,3997188.224166419,5837.1636,148.86479,0.2772118
0.8,558567.3099481997,3997260.871008115,5832.103,148.86479,0.4835027
0.9,558496.8917249145,3997331.86613013,5828.8076,175.20285,0.61773497
1.0,558426.0978426175,3997402.492440432,5821.0874,177.52142,0.7328808
1.1,558354.4119855595,3997472.2143014073,5816.1616,164.11925,0.69840384
1.2,558282.1336334045,3997541.3163072756,5809.2896,168.5608,0.5076939
1.3,558209.1293383284,3997609.6537829423,5798.957,160.07654,0.38169497
1.4,558134.7372605236,3997676.4805646986,5787.217,154.59964,0.31797338
1.5,558058.7099573232,3997741.431857242,5775.555,154.59964,0.2639498
1.6,557980.3570828177,3997803.543630535,5764.838,155.41856,0.25508797
1.7,557897.387375518,3997859.190614083,5756.763,176.00533,0.2550563
1.8,557805.8574385957,3997898.6714603784,5738.579,179.5743,0.24480149
1.9,557717.0772478235,3997944.436035301,5731.171,203.27167,0.22424631
2.0,557635.489057669,3998002.1479369155,5721.255,211.11371,0.18724564
2.1,557560.5032679461,3998068.2545871,5710.1855,200.45227,0.16372433
2.2,557484.0568944139,3998132.1287628254,5700.3066,226.43872,0.15655454
2.3,557393.6011766016,3998174.1732931244,5683.8247,240.28981,0.19654846
2.4,557297.6842664827,3998202.0511231013,5682.973,252.49785,0.28144073
2.5,557199.304021877,3998219.7370010396,5681.9814,262.01978,0.4553014
2.6,557099.7962435426,3998229.551269929,5677.764,259.94504,0.78348947
2.7,556999.8982900572,3998234.043634615,5676.6753,257.0211,0.9346571
2.8,556899.8982900572,3998234.043634615,5671.5376,249.44888,1.02577
2.9,556799.977245387,3998237.782520884,5657.033,244.16235,0.9728841
3.0,556700.2805198493,3998245.352237521,5648.5034,242.30014,0.9760556
3.1,556600.967428661,3998256.869303106,5637.278,237.35794,0.7799937
3.2,556502.2097702553,3998272.4267728804,5628.308,223.26082,0.68747836
3.3,556404.1885908323,3998292.0904173604,5613.953,224.82922,0.59428847
3.4,556307.0901812593,3998315.8956452976,5607.892,225.16878,0.5079834
3.5,556211.1014945045,3998343.845438375,5598.238,231.16956,0.5485437
3.6,556116.4052475982,3998375.9094994264,5590.6387,229.79678,0.619851
3.7,556023.5034670886,3998412.756261184,5581.912,232.43933,0.67874795
3.8,555933.296304089,3998455.865411393,5578.3374,237.24088,0.6458202
3.9,555846.0019558747,3998504.647547159,5569.424,227.80292,0.68288857
4.0,555761.4961085754,3998558.0767065207,5564.835,227.80292,0.8317027
4.1,555679.1398790753,3998614.7362144813,5552.9023,218.89328,0.91131896
4.2,555598.6184104931,3998674.005158752,5541.9556,215.37709,0.90292984
4.3,555520.4285510145,3998736.3457223903,5530.828,210.58246,0.8652408
4.4,555444.1490859354,3998800.9817777267,5522.278,200.96295,0.76430565
4.5,555368.9903562431,3998866.932635711,5513.5728,194.40634,0.6559908
4.6,555295.9782807707,3998935.2644499354,5506.324,181.54124,0.5540409
4.7,555224.045729348,3999004.7121256953,5501.62,168.02643,0.46482754
4.8,555153.3350512292,3999075.422803814,5484.348,166.71063,0.44783586
4.9,555081.9588285246,3999145.458882734,5452.4155,168.48238,0.4363725
5.0,555010.2266227048,3999215.1319410396,5433.973,186.95592,0.44581407
5.1,554937.4676820866,3999283.7332279086,5409.4263,205.87123,0.45249838
5.2,554863.9847498984,3999351.5519232503,5393.013,205.87123,0.45442522
5.3,554789.6481032093,3999418.4342695386,5376.6084,224.64786,0.44473097
5.4,554714.0791949304,3999483.92732338,5368.4443,248.35286,0.44739392
5.5,554636.7738760866,3999547.3584618038,5349.4116,261.57587,0.43238685
5.6,554557.5126147796,3999608.3168549086,5335.4478,278.18823,0.41609192
5.7,554475.5305820918,3999665.5538176172,5332.958,311.47433,0.41340375
5.8,554387.854907856,3999713.135857,5324.3726,315.63474,0.4329751
5.9,554293.7145959154,3999746.434154009,5322.4097,319.81708,0.45438033
6.0,554196.7841792516,3999770.7239058996,5320.193,326.05078,0.49414992
6.1,554098.5297249617,3999789.205156724,5313.5723,323.45996,0.49640802
6.2,553999.4467081571,3999802.716477196,5303.95,317.0366,0.5381682
6.3,553899.9711825185,3999812.758008026,5298.0854,311.2323,0.56062233
6.4,553800.3233726022,3999821.019930034,5291.6567,305.0817,0.55435157
6.5,553700.4665593752,3999826.369402171,5279.0957,301.31424,0.648885
6.6,553600.5594244441,3999830.424395808,5272.6895,300.84805,0.64706534
6.7,553500.5886779918,3999832.8430429003,5267.6494,298.92773,0.66968995
6.8,553400.603199154,3999834.0436346154,5260.3706,303.35757,0.66745645
6.9,553300.603199154,3999834.043634615,5257.7524,298.71,0.63957053
7.0,553200.6325074376,3999832.5541970953,5254.4067,297.8884,0.60528225
7.1,553100.7099176147,3999828.6202368666,5246.3213,293.18585,0.6246711
7.2,553000.8971886985,3999822.9150726045,5241.2593,288.72885,0.64424103
7.3,552901.2543582089,3999814.470764936,5236.053,283.12198,0.6418742
7.4,552801.9241754448,3999803.2124357647,5223.321,275.11444,0.66509163
7.5,552702.8578252146,3999789.5794517887,5216.342,265.07297,0.6773262
7.6,552604.6214558773,3999771.0250817044,5204.723,252.28229,0.67478484
7.7,552506.9380050569,3999749.833135885,5188.8374,244.42474,0.69239527
7.8,552410.5106960871,3999723.3421169384,5181.6353,245.6175,0.75646144
7.9,552315.9826399353,3999690.910129556,5174.882,246.55598,0.75474197
8.0,552223.5324422679,3999653.0831930307,5164.655,251.31302,0.76229745
8.1,552134.0372170652,3999608.620507512,5156.2427,251.86366,0.73348993
8.2,552049.2373866643,3999555.620613512,5149.77,243.0296,0.6558252
8.3,551962.9436692229,3999505.0941464114,5148.189,243.0296,0.5891878
8.4,551875.0411621842,3999457.4330676976,5144.907,239.19824,0.59995234
8.5,551785.1756018135,3999413.592375666,5145.0337,247.99498,0.56981355
8.6,551692.5772460637,3999375.92875699,5139.7563,256.54596,0.5641234
8.7,551596.9140812452,3999347.093599819,5135.9214,256.52722,0.56595504
8.8,551498.0987859427,3999334.043634615,5131.556,264.70074,0.5891386
8.9,551401.2886132667,3999354.812403257,5125.975,264.66248,0.6230942
9.0,551312.5992825127,3999400.737841242,5113.238,256.6761,0.6687765
9.1,551229.0300356935,3999455.545370087,5104.967,256.79654,0.7074779
9.2,551148.8856093985,3999515.3208526243,5097.7485,249.82446,0.7711522
9.3,551071.5927796678,3999578.7701904634,5088.8657,237.8014,0.8375112
9.4,550996.4139536474,3999644.689818501,5080.131,233.8191,0.9463248
9.5,550922.3104275214,3999711.8225488598,5070.954,213.47833,1.0568943
9.6,550849.8328282099,3999780.721007464,5061.7495,191.2066,1.2067311
9.7,550778.235524921,3999850.522330122,5054.417,191.2066,1.285287
9.8,550707.524846803,3999921.2330082413,5034.0596,159.8677,1.3413427
9.9,550634.3256521309,3999989.285863011,5008.397,136.06369,1.3788753
10.0,550559.1203517785,4000055.19612624,4975.858,136.06369,1.4628365
10.1,550480.6871562924,4000117.14186085,4954.7886,117.94486,1.4762866
10.2,550400.9004239005,4000177.425169769,4899.747,115.55669,1.4503816
10.3,550316.8356221558,4000231.5514225247,4847.7812,121.418076,1.396285
10.4,550231.3993686568,4000283.381818148,4823.772,143.79712,1.3692766
10.5,550142.7408840404,4000329.638418818,4811.8555,160.03227,1.2567545
10.6,550051.6000653564,4000370.5445796982,4803.053,185.17207,1.1924562
10.7,549958.8178026422,4000407.7680994873,4795.142,190.35126,1.1163257
10.8,549862.9792342837,4000436.3157581473,4790.7056,188.2406,1.2103062
10.9,549765.856137398,4000459.5772713996,4782.333,168.89917,1.4253126
11.0,549667.574099362,4000477.971978037,4774.5264,149.28455,1.4269781
11.1,549567.9195235376,4000486.2765260227,4742.068,131.00291,1.2866732
11.2,549469.0689978221,4000500.3171682563,4724.842,118.761635,1.0057099
11.3,549370.9718254035,4000519.73223363,4697.498,116.27582,0.90465796
11.4,549275.4898652025,4000549.426245623,4655.4004,123.63719,0.76544523
11.5,549181.4899772974,4000583.1810717857,4639.508,122.721985,0.69565874
11.6,549089.5259974517,4000622.4573548455,4605.891,133.56667,0.61255085
11.7,549000.7275884707,4000668.286393592,4596.67,142.16881,0.5934364
11.8,548913.1385160178,4000716.483940634,4562.2246,155.90897,0.6243895
11.9,548829.5337249341,4000771.3495847825,4536.8765,174.6398,0.6508187
12.0,548747.1817922399,4000827.974881343,4529.0957,189.23286,0.7346945
12.1,548667.9807725202,4000889.025667377,4509.267,215.02066,0.68339753
12.2,548590.471417902,4000952.123199351,4495.0586,233.42398,0.53018737
12.3,548515.6015411225,4001018.414236083,4489.911,280.1218,0.5667634
12.4,548442.3417138536,4001086.4161411896,4481.636,312.2704,0.58126175
12.5,548371.6310357351,4001157.1268193084,4469.3438,312.2704,0.62382185
12.6,548302.4171386902,4001229.22356331,4456.463,324.52765,0.58060294
12.7,548237.3380013446,4001305.1492235465,4456.463,340.9627,0.53284687
12.8,548173.9144480561,4001382.3766517993,4450.0864,340.15265,0.4446316
12.9,548115.4839754719,4001463.5300859446,4442.546,347.64938,0.4396453
13.0,548059.5547786136,4001546.3146857023,4437.5645,347.64938,0.5340747
13.1,548008.8527659575,4001632.508107218,4434.1553,360.2487,0.69708973
13.2,547962.3254780503,4001720.88590977,4422.1724,353.83676,0.7449964
13.3,547920.4196603034,4001811.68184822,4420.16,370.7856,0.67604494
13.4,547885.189743519,4001905.1434832932,4413.179,366.8235,0.5532696
13.5,547853.0315008832,4001999.8316421653,4415.3613,359.09567,0.32121098
13.6,547830.6657038829,4002097.26195907,4408.8755,374.10754,0.12549798
13.7,547811.2188061327,4002195.2515989942,4403.8286,365.02164,0.14951539
13.8,547800.374055116,4002294.661816655,4397.8413,358.2622,0.11940757
13.9,547794.7142204297,4002394.354011475,4393.5347,349.8433,0.12701038
14.0,547794.7142204292,4002494.354011475,4385.9893,343.54684,0.13958068
14.1,547793.9933609404,4002594.350442951,4377.9976,341.04483,0.18256626
14.2,547792.8186883841,4002694.3425766164,4367.7793,345.48453,0.35614797
14.3,547790.5970146563,4002794.3178943996,4358.102,350.9392,0.5157757
14.4,547787.2060791588,4002894.258021394,4336.6597,364.59055,0.61197597
14.5,547782.3559095936,4002994.134918815,4323.9775,378.36105,0.6952533
14.6,547775.2119783695,4003093.8691940918,4316.7715,381.31668,0.7346297
14.7,547764.1674898432,4003193.2352357665,4308.3594,383.35333,0.76392895
14.8,547742.5173243203,4003290.6343229404,4301.638,395.2564,0.42360747
14.9,547703.672570066,4003382.704313964,4294.861,401.8007,0.5367159
15.0,547657.3479531275,4003471.3029157585,4292.1445,403.38068,0.84586585
15.1,547607.2744344115,4003557.8545761216,4284.8877,410.17227,0.80315626
15.2,547554.3964923773,4003642.7263160753,4277.6523,417.14362,0.7751296
15.3,547499.7587211841,4003726.476883483,4273.706,423.90152,0.77347136
15.4,547443.0722924803,4003808.842333744,4280.7075,421.23953,0.7654458
15.5,547383.7145245557,4003889.3063923423,4275.7363,418.6541,0.75606924
15.6,547322.0547470035,4003968.022491802,4271.5864,424.61777,0.74908876
15.7,547258.4031096584,4004045.138583707,4261.146,424.61777,0.74230814
15.8,547193.0203704897,4004120.7941462486,4257.3535,425.98163,0.73898727
15.9,547126.1262288324,4004195.118665539,4251.711,427.28604,0.7529149
16.0,547057.9063148409,4004268.2310838103,4259.896,416.25946,0.75727314
16.1,546988.5169907371,4004340.238872975,4253.355,425.90295,0.7540011
16.2,546917.8073175029,4004410.9505375414,4248.5894,430.12183,0.73932326
16.3,546848.9211302202,4004483.4259034595,4240.906,426.6626,0.578642
16.4,546781.5427303594,4004557.3046566946,4234.442,426.6626,0.6452364
16.5,546715.4160099111,4004632.318918137,4245.9185,427.8065,0.629371
16.6,546651.1940236501,4004708.9709662553,4226.1377,421.98798,0.7668469
16.7,546587.8655019728,4004786.3545326856,4222.8945,414.97186,0.7611641
16.8,546525.3959972169,4004864.44141363,4214.3096,415.42505,0.75990874
16.9,546464.3697196401,4004943.659196248,4211.016,415.42505,0.76803744
17.0,546403.798316246,4005023.223975567,4204.7295,425.28683,0.7663626
17.1,546344.359210138,4005103.641589714,4196.4956,422.73166,0.7659621
17.2,546285.4825860193,4005184.4679227886,4199.004,411.8561,0.7539265
17.3,546227.3587666475,4005265.8412699094,4193.5654,414.09586,0.7398078
17.4,546169.8915567686,4005347.6763710133,4191.1587,414.09586,0.7335374
17.5,546112.970558885,4005429.8955901773,4185.1274,425.61865,0.73289716
17.6,546054.8958715606,4005511.294705285,4172.152,423.81235,0.73463064
17.7,545995.9489645549,4005592.073800071,4167.465,434.0727,0.72296965
17.8,545936.284803781,4005672.317758664,4162.4824,439.0063,0.70553786
17.9,545875.6398861886,4005751.829983952,4161.11,439.0063,0.68052936
18.0,545814.8456607737,4005831.2261594315,4161.11,441.6899,0.6691518
18.1,545752.7593044194,4005909.618023516,4159.817,443.01245,0.6648972
18.2,545690.6729480651,4005988.009887601,4158.41,452.4648,0.65767056
18.3,545627.8291738637,4006065.7920248625,4154.4355,464.66388,0.65050966
18.4,545564.5053948376,4006143.1877547824,4149.0503,464.66388,0.6388034
18.5,545501.1816158115,4006220.5834847023,4145.7603,474.03607,0.6284897
18.6,545436.8416194493,4006297.135869967,4125.668,486.0761,0.6200956
18.7,545372.4449955148,4006373.6412607953,4141.5913,482.64706,0.61674905
18.8,545307.9466862371,4006450.0599837587,4132.8335,488.2586,0.61030847
18.9,545242.6117038243,4006525.7655983004,4123.297,488.8545,0.6015038
19.0,545177.2767214114,4006601.471212842,4117.529,477.38663,0.5869783
19.1,545111.8631167919,4006677.108218737,4110.8057,470.1478,0.58580136
19.2,545045.7009530833,4006752.0920042736,4128.1006,471.04654,0.5908342
