distance_km,peak_mean_doy,peak_p25_doy,peak_p75_doy,peak_nyears,peak_valid
0.0,172.5,138.5,210.75,8,True
0.1,162.0,122.25,188.25,8,True
0.2,135.0,89.25,154.25,8,True
0.3,130.5,83.25,135.75,8,True
0.4,159.0,120.25,193.5,8,True
0.5,159.0,120.25,193.5,8,True
0.6,174.0,84.75,247.75,8,True
0.7,205.5,137.25,252.75,8,True
0.8,216.0,197.25,262.25,8,True
0.9,183.0,121.5,231.75,8,True
1.0,183.0,121.5,231.75,8,True
1.1,153.0,115.25,183.75,8,True
1.2,160.5,100.5,214.75,8,True
1.3,186.0,107.25,254.75,8,True
1.4,148.5,103.5,178.5,8,True
1.5,148.5,103.5,178.5,8,True
1.6,157.5,82.75,262.25,8,True
1.7,111.0,81.25,105.0,8,True
1.8,136.5,84.25,153.25,8,True
1.9,136.5,84.25,153.25,8,True
2.0,130.5,84.5,146.5,8,True
2.1,148.5,89.0,202.75,8,True
2.2,132.0,89.0,155.25,8,True
2.3,199.5,167.25,238.75,8,True
2.4,171.0,133.0,207.75,8,True
2.5,126.0,109.0,126.0,8,True
2.6,126.0,109.0,126.0,8,True
2.7,159.0,89.25,236.25,8,True
2.8,145.5,82.5,175.5,8,True
2.9,121.5,83.75,134.5,8,True
3.0,156.0,82.25,238.0,8,True
3.1,150.0,86.25,196.25,8,True
3.2,118.5,72.0,147.5,8,True
3.3,109.5,77.25,126.0,8,True
3.4,118.5,81.0,134.5,8,True
3.5,120.0,81.0,134.5,8,True
3.6,118.5,72.0,134.5,8,True
3.7,118.5,72.0,134.5,8,True
3.8,123.0,81.0,134.5,8,True
3.9,114.0,68.25,134.5,8,True
4.0,118.5,81.0,134.5,8,True
4.1,133.5,71.5,154.25,8,True
4.2,112.5,78.75,96.5,8,True
4.3,139.5,72.0,171.25,8,True
4.4,118.5,72.0,129.0,8,True
4.5,148.5,85.5,178.5,8,True
4.6,156.0,85.5,202.75,8,True
4.7,162.0,86.25,238.0,8,True
4.8,121.5,85.5,137.5,8,True
4.9,133.5,85.5,177.0,8,True
5.0,154.5,115.5,186.75,8,True
5.1,129.0,81.5,152.5,8,True
5.2,147.0,93.0,193.0,8,True
5.3,135.0,76.25,155.25,8,True
5.4,193.5,111.0,266.25,8,True
5.5,193.5,111.0,266.25,8,True
5.6,195.0,154.5,238.5,8,True
5.7,196.5,154.5,238.5,8,True
5.8,178.5,106.75,233.75,8,True
5.9,178.5,106.75,233.75,8,True
6.0,141.0,66.5,216.5,8,True
6.1,159.0,75.5,228.5,8,True
6.2,228.0,217.5,279.5,8,True
6.3,192.0,158.25,229.25,8,True
6.4,199.5,157.75,251.75,8,True
6.5,174.0,132.75,223.5,8,True
6.6,172.5,79.5,236.75,8,True
6.7,189.0,79.5,278.75,8,True
6.8,210.0,182.5,272.75,8,True
6.9,210.0,182.5,272.75,8,True
7.0,180.0,132.25,223.5,8,True
7.1,181.5,161.75,219.25,8,True
7.2,192.0,150.25,235.25,8,True
7.3,202.5,171.25,232.25,8,True
7.4,204.0,178.75,232.25,8,True
7.5,204.0,178.75,232.25,8,True
7.6,178.5,145.5,223.5,8,True
7.7,187.5,143.5,232.25,8,True
7.8,139.5,83.25,178.5,8,True
7.9,139.5,83.25,178.5,8,True
8.0,117.0,81.75,121.75,8,True
8.1,103.5,73.5,84.75,8,True
8.2,115.5,80.0,132.5,8,True
8.3,112.5,77.75,136.25,8,True
8.4,145.5,81.25,219.75,8,True
8.5,178.5,124.75,219.75,8,True
8.6,145.5,117.25,188.25,8,True
8.7,148.5,128.0,164.25,8,True
8.8,148.5,128.0,164.25,8,True
8.9,144.0,115.75,168.0,8,True
9.0,159.0,104.5,185.75,8,True
9.1,159.0,104.5,185.75,8,True
9.2,157.5,129.0,170.0,8,True
9.3,139.5,107.25,150.25,8,True
9.4,186.0,108.0,260.75,8,True
9.5,153.0,107.5,205.25,8,True
9.6,142.5,116.5,156.5,8,True
9.7,172.5,143.25,204.75,8,True
9.8,172.5,143.25,204.75,8,True
9.9,151.5,119.25,175.5,8,True
10.0,151.5,126.75,171.5,8,True
10.1,154.5,126.75,173.5,8,True
10.2,154.5,126.75,173.5,8,True
10.3,154.5,131.25,175.5,8,True
10.4,153.0,131.5,177.0,8,True
10.5,153.0,131.5,177.0,8,True
10.6,150.0,131.25,162.5,8,True
10.7,153.0,127.25,181.5,8,True
10.8,166.5,131.5,193.5,8,True
10.9,162.0,131.5,180.0,8,True
11.0,163.5,126.25,204.75,8,True
11.1,171.0,147.75,191.25,8,True
11.2,172.5,160.0,204.75,8,True
11.3,165.0,118.5,217.75,8,True
11.4,160.5,118.5,204.75,8,True
11.5,160.5,118.5,204.75,8,True
11.6,160.5,118.5,204.75,8,True
11.7,160.5,118.5,204.75,8,True
11.8,160.5,118.5,204.75,8,True
11.9,160.5,118.5,204.75,8,True
12.0,178.5,169.75,207.0,8,True
12.1,190.5,181.5,217.75,8,True
12.2,198.0,181.5,230.75,8,True
12.3,198.0,181.5,230.75,8,True
12.4,195.0,175.5,230.75,8,True
12.5,196.5,184.5,230.75,8,True
12.6,192.0,158.25,230.75,8,True
12.7,192.0,158.25,230.75,8,True
12.8,184.5,151.5,217.75,8,True
12.9,190.5,175.5,217.75,8,True
13.0,169.5,124.75,217.75,8,True
13.1,169.5,124.75,217.75,8,True
13.2,181.5,156.75,217.75,8,True
13.3,160.5,113.25,217.75,8,True
13.4,160.5,113.25,217.75,8,True
13.5,160.5,113.25,217.75,8,True
13.6,171.0,131.25,217.75,8,True
13.7,171.0,131.25,217.75,8,True
13.8,171.0,131.25,217.75,8,True
13.9,165.0,95.25,217.75,8,True
14.0,165.0,95.25,217.75,8,True
14.1,148.5,82.75,204.75,8,True
14.2,183.0,161.25,217.75,8,True
14.3,180.0,161.25,217.75,8,True
14.4,180.0,161.25,217.75,8,True
14.5,181.5,161.25,208.75,8,True
14.6,181.5,161.25,208.75,8,True
14.7,166.5,113.25,208.75,8,True
14.8,163.5,111.5,208.75,8,True
14.9,163.5,111.5,208.75,8,True
15.0,190.5,171.25,224.25,8,True
15.1,189.0,146.25,236.25,8,True
15.2,226.5,212.25,240.5,8,True
15.3,178.5,149.25,224.25,8,True
15.4,216.0,203.5,258.75,8,True
15.5,228.0,217.5,239.25,8,True
15.6,217.5,203.5,234.75,8,True
15.7,210.0,203.5,225.75,8,True
15.8,210.0,203.5,225.75,8,True
15.9,190.5,161.75,223.5,8,True
16.0,169.5,85.75,223.5,8,True
16.1,186.0,157.75,225.75,8,True
16.2,214.5,213.25,252.75,8,True
16.3,214.5,213.25,252.75,8,True
16.4,166.5,94.75,219.75,8,True
16.5,166.5,94.75,219.75,8,True
16.6,175.5,136.5,219.75,8,True
16.7,195.0,172.25,231.75,8,True
16.8,195.0,172.25,231.75,8,True
16.9,178.5,136.5,218.25,8,True
17.0,199.5,171.0,240.5,8,True
17.1,199.5,171.0,240.5,8,True
17.2,232.5,211.75,260.75,8,True
17.3,226.5,221.25,266.0,8,True
17.4,213.0,203.5,240.5,8,True
17.5,226.5,221.25,266.0,8,True
17.6,201.0,183.0,238.25,8,True
17.7,198.0,123.75,266.0,8,True
17.8,229.5,207.75,266.0,8,True
17.9,229.5,207.75,266.0,8,True
18.0,225.0,203.5,278.75,8,True
18.1,228.0,208.75,278.75,8,True
18.2,225.0,203.5,278.75,8,True
18.3,181.5,103.5,236.75,8,True
18.4,181.5,103.5,236.75,8,True
18.5,196.5,149.25,238.25,8,True
18.6,178.5,133.5,223.5,8,True
18.7,178.5,133.5,223.5,8,True
18.8,178.5,133.5,223.5,8,True
18.9,195.0,146.25,238.25,8,True
19.0,172.5,133.5,223.5,8,True
19.1,211.5,203.5,238.25,8,True
19.2,189.0,161.75,223.5,8,True
19.3,210.0,194.5,238.25,8,True
19.4,210.0,194.5,238.25,8,True
19.5,195.0,149.25,238.25,8,True
19.6,219.0,215.25,266.0,8,True
19.7,211.5,203.5,238.25,8,True
19.8,211.5,203.5,238.25,8,True
19.9,219.0,207.75,266.0,8,True
19.96,216.0,203.5,260.75,8,True
